account_id,customer_id,branch_id,account_type,opening_date,current_balance,account_status
1,2291,34,Current,2019-08-30,250728,Active
2,5344,24,Savings,2018-04-21,110441,Active
3,2331,118,Salary,2021-11-20,429571,Active
4,4965,99,Salary,2019-11-28,425579,Active
5,4790,112,Current,2018-04-21,316088,Active
6,733,30,Savings,2024-01-01,300078,Dormant
7,4088,1,Salary,2016-10-20,378399,Dormant
8,472,37,Current,2023-01-10,232235,Active
9,3653,73,Current,2023-01-27,448084,Dormant
10,3390,87,Salary,2020-02-11,28210,Active
11,4051,87,Salary,2020-10-30,126694,Active
12,4634,79,Salary,2018-09-19,438030,Active
13,5346,50,Current,2019-07-09,60743,Active
14,5821,79,Salary,2021-12-07,28028,Dormant
15,4660,62,Salary,2022-03-31,308046,Dormant
16,1274,118,Salary,2018-02-09,191524,Active
17,3970,58,Salary,2019-12-12,40627,Active
18,882,87,Current,2021-05-21,379256,Active
19,111,43,Savings,2019-07-28,283684,Active
20,5587,17,Savings,2021-01-07,362562,Active
21,2504,36,Savings,2024-01-30,190457,Closed
22,1394,98,Salary,2019-08-13,364805,Active
23,2713,40,Salary,2018-03-02,30646,Dormant
24,4019,71,Salary,2021-08-24,139275,Active
25,4198,2,Current,2021-04-17,243284,Closed
26,3830,86,Current,2017-04-17,281587,Active
27,4304,84,Current,2020-02-03,365390,Active
28,4301,55,Savings,2016-02-19,241026,Active
29,5737,9,Current,2022-02-15,401203,Dormant
30,5909,37,Savings,2017-01-18,342685,Active
31,468,83,Salary,2023-01-06,147920,Dormant
32,5340,16,Salary,2023-12-03,489664,Active
33,903,56,Current,2016-08-09,451862,Active
34,1389,117,Current,2021-07-26,43745,Active
35,1407,14,Salary,2023-12-22,398928,Active
36,1811,97,Savings,2018-01-10,110629,Active
37,1288,71,Savings,2021-06-03,266960,Active
38,2958,94,Current,2023-04-25,261602,Dormant
39,5527,44,Current,2019-03-04,315785,Active
40,3693,22,Savings,2019-04-02,171942,Dormant
41,5106,7,Current,2018-12-19,387242,Active
42,5776,56,Salary,2016-05-06,255726,Dormant
43,5957,72,Current,2017-05-17,300754,Active
44,3778,55,Current,2022-03-08,243407,Active
45,1410,52,Savings,2022-01-22,153933,Active
46,2156,13,Salary,2016-04-16,457894,Active
47,4297,103,Savings,2019-02-14,260497,Active
48,2288,70,Salary,2024-03-17,7346,Dormant
49,1876,50,Current,2016-03-03,291463,Dormant
50,4440,33,Savings,2017-12-01,308060,Active
51,2723,4,Savings,2022-04-19,318617,Active
52,619,70,Salary,2016-10-23,204640,Active
53,1169,13,Savings,2022-12-11,183864,Active
54,2265,46,Savings,2023-08-21,364139,Active
55,1192,87,Savings,2023-09-20,436539,Active
56,4967,119,Savings,2020-02-26,389865,Active
57,3276,92,Savings,2016-03-08,384021,Active
58,1363,70,Salary,2020-03-01,410751,Active
59,3327,106,Current,2021-03-07,11159,Dormant
60,4061,113,Current,2019-01-21,368076,Active
61,1415,1,Salary,2021-03-06,409973,Closed
62,3253,103,Current,2016-03-20,1180,Active
63,4713,31,Current,2024-02-23,241706,Active
64,1308,74,Salary,2023-06-16,341693,Active
65,2427,16,Salary,2016-12-20,249582,Dormant
66,2944,51,Salary,2020-07-10,463104,Active
67,5498,28,Savings,2020-09-24,253211,Dormant
68,566,69,Salary,2021-08-11,177727,Active
69,4598,88,Savings,2017-01-19,263631,Active
70,5231,48,Savings,2016-01-25,146613,Active
71,4021,112,Current,2024-02-10,362476,Active
72,926,46,Current,2019-03-29,43604,Active
73,3494,104,Savings,2021-03-29,416143,Active
74,4859,114,Savings,2017-01-28,77113,Active
75,4597,30,Savings,2016-07-28,238142,Closed
76,2759,9,Current,2017-07-06,175651,Closed
77,762,62,Salary,2021-11-23,186687,Active
78,533,97,Salary,2017-03-28,341008,Active
79,1893,66,Salary,2019-02-26,74954,Active
80,1819,98,Salary,2023-04-19,126094,Active
81,3248,74,Current,2023-08-01,413862,Dormant
82,1475,45,Salary,2024-01-27,142486,Active
83,1005,30,Salary,2019-01-13,339584,Active
84,1649,26,Current,2021-02-13,413661,Active
85,2167,64,Salary,2017-11-25,49497,Dormant
86,2684,71,Salary,2019-05-08,217313,Active
87,1933,21,Current,2017-02-16,287543,Active
88,562,114,Savings,2022-05-16,476052,Dormant
89,5899,79,Current,2016-03-19,336081,Active
90,1618,38,Current,2018-07-08,172901,Closed
91,1368,35,Savings,2022-02-20,303178,Active
92,4858,25,Salary,2019-03-26,481601,Active
93,2742,78,Current,2018-02-23,135168,Active
94,1776,41,Current,2020-09-27,234979,Closed
95,4117,86,Current,2020-07-30,330254,Dormant
96,5984,101,Savings,2021-08-07,322203,Active
97,1073,47,Savings,2020-01-08,339081,Closed
98,3578,70,Savings,2016-02-05,389132,Active
99,2961,77,Salary,2020-12-20,397345,Active
100,5408,55,Savings,2017-11-05,392768,Active
101,2619,3,Savings,2018-08-27,272413,Active
102,298,24,Salary,2023-09-20,142131,Active
103,1058,22,Salary,2023-02-28,233211,Closed
104,1718,2,Savings,2016-03-19,167208,Active
105,240,37,Current,2022-12-19,9201,Active
106,3938,90,Salary,2020-01-18,43552,Active
107,3792,63,Savings,2024-02-14,65477,Active
108,71,13,Salary,2019-06-29,63527,Active
109,2990,81,Salary,2019-09-01,445848,Dormant
110,5157,31,Current,2019-08-10,136380,Dormant
111,5196,39,Savings,2019-02-19,306544,Active
112,3388,26,Current,2016-02-18,436767,Active
113,2740,120,Current,2019-07-11,350467,Active
114,2716,107,Savings,2020-05-02,435016,Active
115,3350,88,Salary,2023-06-11,399446,Active
116,1760,51,Savings,2023-02-09,368819,Active
117,4600,103,Current,2017-05-06,175985,Active
118,5805,15,Savings,2022-02-02,374550,Active
119,2987,116,Salary,2018-09-17,265102,Active
120,4988,30,Salary,2017-04-29,118011,Active
121,5045,119,Savings,2021-03-09,132078,Dormant
122,3234,4,Savings,2019-09-05,283031,Active
123,5944,76,Current,2017-11-20,298037,Active
124,5502,28,Salary,2022-10-03,155173,Active
125,5084,39,Savings,2021-09-07,219953,Closed
126,4575,63,Savings,2020-09-30,441061,Dormant
127,1844,37,Current,2022-05-08,154321,Active
128,1126,118,Savings,2023-09-05,480219,Active
129,919,4,Salary,2017-05-16,135926,Active
130,4206,53,Current,2016-08-22,311998,Active
131,3168,8,Current,2021-10-21,466036,Active
132,3442,32,Savings,2016-10-05,6973,Active
133,3622,117,Salary,2020-04-07,339220,Active
134,2881,89,Salary,2018-05-01,136922,Active
135,5193,117,Salary,2017-03-31,408855,Active
136,3958,99,Salary,2019-06-12,335257,Dormant
137,5403,13,Savings,2019-12-21,342473,Active
138,4004,89,Current,2018-03-26,458183,Active
139,4226,37,Salary,2022-04-11,345473,Active
140,2414,66,Current,2017-10-30,371974,Active
141,3858,79,Salary,2022-04-11,333728,Active
142,4917,17,Savings,2020-01-02,96136,Active
143,173,82,Salary,2022-02-19,436361,Active
144,5084,34,Salary,2021-09-22,53898,Dormant
145,1761,39,Current,2019-02-01,211892,Dormant
146,9,91,Savings,2018-06-22,4155,Active
147,829,9,Current,2018-01-29,358761,Active
148,4191,107,Current,2021-02-08,198450,Closed
149,2766,97,Savings,2019-09-23,192096,Closed
150,4614,59,Salary,2018-02-14,32696,Active
151,5376,114,Salary,2022-10-25,292895,Active
152,2554,45,Current,2017-04-13,464881,Active
153,1355,68,Salary,2021-08-10,91570,Active
154,5189,87,Savings,2022-09-19,350510,Active
155,2236,58,Savings,2023-03-02,155479,Active
156,4223,118,Salary,2018-09-14,440810,Active
157,2456,4,Salary,2024-02-27,214297,Dormant
158,4712,6,Salary,2020-09-04,359754,Dormant
159,2623,98,Savings,2021-10-18,9798,Active
160,111,34,Current,2018-05-22,48127,Dormant
161,2591,44,Savings,2016-02-27,367130,Active
162,4840,44,Savings,2018-11-09,221994,Active
163,2842,61,Savings,2016-05-02,80282,Active
164,5844,106,Current,2022-05-24,445510,Dormant
165,5495,65,Savings,2021-01-06,189924,Active
166,2240,90,Salary,2023-10-22,489146,Active
167,973,104,Current,2021-10-15,492905,Active
168,3627,67,Savings,2019-08-30,85307,Active
169,988,113,Salary,2017-02-05,346726,Active
170,2838,70,Salary,2020-05-03,51700,Dormant
171,3802,75,Salary,2024-03-06,326509,Closed
172,1891,107,Salary,2022-05-23,185992,Active
173,4036,67,Salary,2023-03-26,155481,Active
174,4561,16,Salary,2017-08-19,111863,Active
175,5497,11,Savings,2020-08-02,149086,Active
176,2707,4,Salary,2021-11-15,293314,Active
177,598,85,Salary,2021-07-03,300720,Dormant
178,2074,80,Salary,2018-12-11,74211,Active
179,4217,35,Savings,2022-05-24,213149,Active
180,3464,26,Current,2020-05-13,455849,Closed
181,1646,70,Salary,2021-05-29,458354,Active
182,3999,46,Current,2018-08-28,439157,Active
183,1735,77,Savings,2024-03-01,433011,Dormant
184,1003,50,Savings,2023-10-24,35783,Active
185,1693,117,Salary,2016-04-30,463757,Dormant
186,1898,116,Salary,2021-06-12,427134,Dormant
187,2522,83,Savings,2019-12-13,53772,Dormant
188,1276,87,Current,2021-02-13,436355,Active
189,5906,85,Salary,2021-02-04,148021,Active
190,2698,79,Savings,2023-06-18,485928,Active
191,3866,6,Current,2018-06-28,37373,Active
192,1221,74,Current,2016-12-03,131360,Active
193,1023,86,Savings,2016-07-31,217732,Active
194,2057,73,Current,2020-06-02,286271,Active
195,4592,40,Current,2018-01-29,469339,Dormant
196,3941,115,Salary,2021-09-06,271225,Active
197,520,114,Current,2021-03-27,428423,Active
198,3825,33,Savings,2018-07-13,16013,Closed
199,2570,102,Savings,2022-05-21,236388,Active
200,5731,69,Current,2021-12-21,24264,Active
201,4899,17,Current,2018-11-11,242000,Active
202,2312,24,Current,2019-09-11,181324,Active
203,4383,59,Current,2019-07-11,229391,Active
204,2949,80,Savings,2023-04-01,235903,Active
205,5624,114,Current,2018-03-20,16506,Active
206,1089,34,Current,2022-12-29,164231,Active
207,3664,15,Savings,2022-07-03,342896,Active
208,94,56,Current,2016-01-22,309798,Active
209,2376,89,Savings,2022-04-02,55869,Active
210,2045,37,Salary,2021-12-12,7958,Active
211,5892,117,Current,2022-07-30,293844,Active
212,5530,119,Salary,2017-06-02,176838,Dormant
213,2279,73,Current,2017-11-07,3227,Active
214,1129,26,Current,2018-07-22,157355,Active
215,628,86,Salary,2021-08-07,384829,Active
216,4446,19,Salary,2021-12-10,101234,Active
217,5161,51,Savings,2021-01-11,303292,Closed
218,2837,29,Current,2016-12-03,438084,Dormant
219,5979,24,Savings,2020-08-19,238022,Active
220,2073,28,Current,2019-02-14,336517,Active
221,4455,53,Current,2021-05-04,400643,Active
222,555,6,Current,2021-03-03,329554,Dormant
223,2345,13,Savings,2016-06-03,346494,Active
224,1234,15,Salary,2016-09-08,466290,Dormant
225,4004,63,Salary,2017-06-20,90195,Active
226,734,56,Salary,2016-02-03,401958,Closed
227,692,43,Savings,2023-07-30,30210,Active
228,5503,97,Savings,2019-07-01,476461,Active
229,3050,97,Savings,2018-12-11,64783,Active
230,5473,110,Savings,2022-06-04,368521,Active
231,2333,92,Savings,2020-11-14,151793,Active
232,2750,42,Current,2018-06-10,248047,Closed
233,2512,96,Savings,2018-04-28,319417,Active
234,335,85,Salary,2016-11-04,468471,Closed
235,3898,35,Current,2023-02-19,417297,Active
236,437,48,Current,2018-07-16,150497,Active
237,3148,93,Salary,2016-12-06,236076,Active
238,5105,98,Salary,2021-09-08,84400,Active
239,5682,45,Savings,2019-09-11,271037,Active
240,4052,57,Current,2021-01-06,236673,Active
241,1712,36,Salary,2019-05-23,10672,Active
242,340,46,Current,2018-12-29,404596,Closed
243,71,26,Savings,2020-03-12,280852,Active
244,3889,28,Current,2023-01-05,258505,Active
245,5547,57,Savings,2017-06-05,285092,Active
246,1063,95,Salary,2017-12-20,66658,Active
247,5087,65,Savings,2021-08-16,160195,Active
248,4410,96,Savings,2020-11-21,342749,Closed
249,5718,86,Current,2017-12-01,65116,Active
250,295,32,Savings,2022-10-04,127348,Active
251,2064,41,Current,2023-06-14,422717,Active
252,4624,89,Current,2018-02-09,84661,Dormant
253,5450,53,Salary,2022-05-20,315257,Active
254,2074,24,Savings,2016-07-24,330016,Active
255,1655,45,Savings,2020-08-04,117638,Active
256,2582,18,Current,2020-03-15,198334,Dormant
