repayment_id,loan_id,payment_date,emi_amount,payment_status
1,274,2023-04-20,15751,Delayed
2,1371,2024-09-03,18136,Paid
3,1619,2024-02-08,24075,Paid
4,1044,2024-04-04,34524,Paid
5,596,2024-11-29,48650,Delayed
6,145,2024-12-12,48142,Paid
7,2860,2023-10-18,36834,Paid
8,830,2024-12-12,12407,Paid
9,289,2024-04-12,33966,Paid
10,2440,2024-06-14,7757,Delayed
11,2718,2024-12-06,27024,Paid
12,1013,2024-08-20,25850,Paid
13,1886,2023-12-09,51668,Paid
14,1739,2024-04-23,39833,Paid
15,1940,2023-07-09,25755,Delayed
16,20,2024-10-31,20207,Paid
17,1843,2024-09-02,31972,Paid
18,2948,2023-10-31,6143,Paid
19,3457,2023-08-07,32293,Paid
20,2540,2024-01-09,29181,Paid
21,2749,2024-06-18,30655,Paid
22,525,2024-08-20,37974,Paid
23,3258,2023-06-22,16699,Paid
24,2432,2024-08-31,43514,Missed
25,2952,2024-01-08,53225,Paid
26,60,2024-05-11,18019,Missed
27,2646,2023-01-14,49242,Paid
28,2649,2023-06-17,41303,Paid
29,490,2023-05-10,23311,Paid
30,542,2024-09-07,23466,Paid
31,3441,2023-08-26,51357,Delayed
32,1538,2023-08-12,14878,Missed
33,1184,2023-07-08,14874,Paid
34,1508,2024-10-24,16063,Missed
35,3374,2024-03-20,17315,Missed
36,2318,2023-03-04,49392,Missed
37,1589,2023-09-01,24583,Paid
38,2446,2024-06-09,23874,Paid
39,1659,2023-02-28,23670,Paid
40,1569,2023-03-31,22834,Paid
41,2763,2023-03-03,17724,Paid
42,501,2023-01-11,10326,Paid
43,794,2023-08-23,47927,Missed
44,1110,2023-10-05,39227,Missed
45,2154,2024-03-10,37998,Paid
46,201,2024-03-14,22323,Paid
47,710,2024-03-10,15530,Paid
48,150,2024-04-28,27631,Delayed
49,594,2023-08-21,43728,Paid
50,2621,2024-02-16,40387,Paid
51,249,2023-12-06,31949,Paid
52,2205,2024-03-13,37636,Paid
53,2334,2023-11-24,22400,Paid
54,1714,2023-10-25,48780,Paid
55,3057,2024-09-29,42423,Paid
56,2973,2023-05-20,34591,Paid
57,288,2024-04-24,50724,Paid
58,3234,2023-11-29,29314,Paid
59,2384,2024-07-10,7724,Paid
60,2543,2024-03-20,8001,Paid
61,2586,2024-08-18,46552,Paid
62,158,2024-09-11,43392,Delayed
63,2432,2023-12-11,52331,Paid
64,2509,2023-10-11,49619,Paid
65,2828,2024-07-13,33520,Paid
66,174,2023-01-10,44914,Paid
67,1326,2023-04-20,57812,Paid
68,160,2024-11-04,50929,Paid
69,1439,2023-09-20,14331,Paid
70,1436,2024-05-11,16073,Missed
71,2259,2023-10-09,8191,Paid
72,966,2024-09-23,11372,Paid
73,678,2024-03-17,20443,Delayed
74,1494,2023-12-12,58183,Paid
75,903,2023-11-17,35799,Paid
76,1829,2024-10-15,18495,Paid
77,2848,2024-10-25,42027,Delayed
78,1608,2023-09-09,39265,Paid
79,81,2024-12-29,51409,Paid
80,883,2024-11-19,54332,Paid
81,1273,2023-02-22,53491,Paid
82,1812,2023-03-06,58591,Paid
83,2010,2024-01-03,41589,Paid
84,3488,2023-01-06,15197,Paid
85,3125,2024-08-20,9303,Missed
86,627,2024-05-12,46006,Paid
87,3388,2023-07-28,50902,Paid
88,1453,2023-05-20,17982,Paid
89,202,2024-08-18,16154,Paid
90,3105,2023-10-18,42994,Paid
91,3184,2024-09-21,19318,Paid
92,969,2024-02-16,52445,Paid
93,2070,2024-01-03,29240,Paid
94,2180,2023-06-22,10939,Paid
95,1525,2023-02-08,14958,Missed
96,2339,2024-11-19,48026,Paid
97,2121,2024-09-23,31593,Paid
98,40,2024-05-09,6130,Paid
99,2171,2023-02-20,49916,Paid
100,1026,2024-05-07,47429,Paid
101,1876,2023-10-07,52215,Paid
102,1783,2024-04-15,44059,Paid
103,2210,2024-12-30,8711,Paid
104,372,2024-12-09,58899,Paid
105,2140,2024-12-16,27973,Paid
106,424,2024-04-05,57459,Paid
107,1494,2024-04-07,45723,Paid
108,2692,2023-06-05,50869,Paid
109,2891,2023-12-04,9068,Paid
110,2116,2024-01-01,31116,Paid
111,2964,2024-11-14,27355,Paid
112,1132,2024-10-09,10745,Missed
113,2027,2023-05-10,8995,Paid
114,580,2024-12-29,24009,Paid
115,1689,2024-04-14,52603,Paid
116,1640,2023-03-26,40678,Paid
117,1604,2024-06-18,15124,Paid
118,1825,2023-06-09,23982,Paid
119,2448,2023-05-01,26368,Paid
120,3275,2023-09-24,47744,Missed
121,69,2024-09-20,7061,Paid
122,2380,2024-08-30,45607,Paid
123,31,2023-10-01,49656,Paid
124,607,2024-03-16,28621,Paid
125,3002,2023-09-17,37051,Paid
126,434,2024-01-17,45791,Paid
127,1930,2023-07-08,24737,Paid
128,1449,2024-02-16,48564,Paid
129,3128,2023-01-13,28374,Paid
130,1696,2023-01-22,58910,Missed
131,65,2023-08-09,59575,Paid
132,853,2023-04-06,18180,Paid
133,512,2023-04-16,17604,Paid
134,2646,2024-08-12,18844,Paid
135,3112,2024-07-17,57949,Paid
136,2052,2024-04-14,56182,Delayed
137,1556,2023-08-14,23407,Delayed
138,657,2023-08-17,5598,Paid
139,2698,2023-04-14,58173,Paid
140,501,2024-05-15,21359,Paid
141,1497,2024-05-04,27255,Delayed
142,1031,2023-06-21,10789,Paid
143,726,2024-07-20,16786,Paid
144,3150,2024-03-21,38711,Missed
145,3200,2023-03-02,53464,Paid
146,2666,2023-11-26,56190,Paid
147,1970,2023-07-06,44377,Paid
148,1636,2023-05-07,59537,Paid
149,2237,2024-04-15,58931,Paid
150,1019,2023-08-04,55936,Paid
151,1732,2023-01-01,24088,Paid
152,3451,2023-09-28,20338,Paid
153,3467,2023-01-21,49689,Paid
154,2012,2023-04-29,47233,Paid
155,3355,2024-03-25,36883,Paid
156,650,2023-12-24,27397,Paid
157,1819,2024-11-29,5213,Paid
158,983,2024-08-02,40743,Paid
159,462,2024-01-03,35690,Paid
160,3418,2023-02-14,5833,Paid
161,1262,2023-07-08,42516,Paid
162,804,2024-05-29,56865,Paid
163,1283,2024-05-10,13357,Paid
164,2462,2024-04-28,31048,Paid
165,89,2024-06-27,6130,Missed
166,1498,2024-05-15,14882,Paid
167,2777,2024-02-20,33542,Delayed
168,1328,2024-02-27,23197,Paid
169,2001,2024-01-16,37480,Paid
