transaction_id,account_id,transaction_date,transaction_type,channel,amount
1,3188,2024-02-29,Debit,UPI,28967
2,2860,2023-06-18,Debit,NEFT,87153
3,6335,2023-11-24,Credit,Card,45988
4,3040,2023-07-23,Credit,NEFT,150
5,7188,2024-03-16,Credit,Card,27468
6,3080,2024-09-29,Debit,UPI,47850
7,2106,2023-07-12,Debit,IMPS,93367
8,1895,2024-06-01,Debit,ATM,71531
9,2100,2023-09-20,Credit,Cash,9166
10,529,2024-08-08,Credit,NEFT,7977
11,750,2024-09-11,Credit,IMPS,91468
12,1003,2023-02-08,Credit,NEFT,50874
13,7027,2024-01-28,Credit,Cash,19673
14,4655,2023-03-09,Debit,IMPS,39445
15,2379,2023-10-13,Debit,IMPS,20183
16,3919,2024-08-26,Credit,IMPS,36252
17,1799,2024-05-28,Credit,UPI,54555
18,5801,2023-01-14,Debit,Card,44083
19,8381,2023-06-12,Credit,IMPS,64435
20,3292,2023-05-20,Credit,UPI,80027
21,5789,2023-03-07,Debit,Cash,56756
22,7925,2023-05-16,Credit,UPI,63998
23,363,2023-07-23,Credit,Card,75706
24,3040,2024-09-06,Credit,Card,92902
25,8671,2024-04-08,Debit,IMPS,53796
26,6527,2024-03-07,Debit,Card,23213
27,115,2024-06-19,Credit,IMPS,54557
28,5918,2023-08-28,Credit,UPI,36430
29,8135,2023-09-21,Credit,Cash,54044
30,3302,2024-11-08,Debit,Cash,7326
31,5848,2023-12-08,Debit,IMPS,47422
32,7948,2023-08-25,Debit,ATM,74292
33,1797,2023-02-13,Credit,UPI,9634
34,3523,2023-12-12,Debit,NEFT,1941
35,620,2024-03-21,Debit,NEFT,46147
36,4940,2023-11-08,Debit,Card,92081
37,6614,2023-05-06,Debit,IMPS,36391
38,6309,2023-03-15,Debit,UPI,21358
39,57,2024-02-06,Debit,ATM,26201
40,4165,2024-10-08,Credit,Card,66013
41,7554,2023-02-11,Credit,NEFT,68748
42,2976,2024-06-13,Debit,ATM,37013
43,244,2023-03-26,Debit,IMPS,42490
44,58,2024-12-14,Credit,UPI,84127
45,4117,2024-02-18,Credit,UPI,23446
46,4284,2024-07-18,Debit,ATM,19735
47,1797,2023-05-17,Credit,NEFT,52115
48,3712,2024-07-29,Debit,IMPS,5020
49,3782,2024-12-31,Debit,Cash,16472
50,4312,2024-04-05,Credit,UPI,1154
51,4468,2024-09-22,Credit,IMPS,73928
52,349,2023-01-08,Credit,Card,70154
53,591,2023-01-17,Credit,Card,58186
54,7934,2024-09-08,Credit,Card,75299
55,3945,2023-07-18,Credit,Cash,24921
56,7174,2023-07-25,Debit,UPI,91670
57,2406,2023-01-30,Debit,ATM,32932
58,7770,2024-11-05,Debit,ATM,6392
59,5155,2023-10-30,Credit,NEFT,22907
60,1566,2023-10-25,Debit,NEFT,52320
61,6750,2024-03-04,Debit,Cash,84983
62,6559,2024-06-06,Debit,Card,16359
63,3158,2023-01-18,Debit,NEFT,16425
64,8907,2024-07-29,Credit,ATM,67163
65,8309,2023-05-08,Debit,UPI,67536
66,3343,2023-06-08,Credit,Cash,95614
67,4471,2024-12-01,Credit,ATM,91533
68,8845,2023-04-06,Credit,Card,17845
69,5521,2024-03-18,Debit,Cash,32515
70,1453,2024-10-13,Debit,NEFT,11402
71,6058,2023-06-04,Debit,Card,58803
72,8577,2023-05-22,Credit,Card,12650
73,8651,2024-04-17,Debit,NEFT,68855
74,946,2023-01-07,Debit,ATM,78191
75,7797,2024-09-01,Credit,NEFT,55301
76,2065,2023-04-09,Credit,Card,22781
77,4975,2024-01-03,Debit,IMPS,20008
78,2348,2023-06-26,Debit,ATM,34086
79,951,2023-10-06,Debit,NEFT,44576
80,3436,2024-11-19,Credit,NEFT,11132
81,2181,2023-01-18,Credit,IMPS,20352
82,5259,2024-07-27,Credit,Cash,10977
83,5278,2023-03-23,Credit,Cash,96724
84,2559,2024-12-30,Credit,UPI,23379
85,4213,2024-03-26,Credit,Card,35086
86,7432,2023-05-19,Credit,UPI,56971
87,8956,2023-06-24,Credit,Cash,42316
88,8416,2024-05-10,Debit,ATM,92103
89,5050,2023-03-22,Debit,Card,43287
90,280,2024-08-13,Debit,NEFT,91207
91,3206,2024-03-18,Debit,UPI,26353
92,6834,2024-04-13,Debit,IMPS,72273
93,279,2024-06-27,Debit,UPI,51989
94,3846,2023-12-07,Credit,IMPS,28318
95,5240,2023-01-22,Credit,UPI,11987
96,8902,2023-08-17,Credit,UPI,46331
97,7615,2024-02-01,Debit,ATM,93494
98,3670,2024-10-15,Credit,IMPS,67946
99,3711,2024-06-28,Debit,ATM,11023
100,6911,2023-04-18,Debit,IMPS,85208
