loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_start_date,loan_status
1,1951,Personal Loan,4049323,10.35,2019-12-13,Closed
2,1071,Home Loan,578470,8.46,2022-04-06,Active
3,5296,Personal Loan,1926078,10.24,2021-07-25,Active
4,2569,Personal Loan,3623990,8.2,2020-07-15,Default
5,1133,Home Loan,3085664,12.68,2018-10-29,Active
6,451,Personal Loan,272035,13.68,2019-05-10,Closed
7,997,Car Loan,3989282,8.89,2019-11-29,Active
8,3424,Home Loan,929809,9.53,2019-12-21,Default
9,2855,Home Loan,1042447,10.32,2023-06-13,Active
10,86,Home Loan,4555352,7.06,2021-12-22,Active
11,755,Home Loan,1676513,14.57,2022-09-07,Active
12,1552,Car Loan,1614857,11.61,2021-10-16,Active
13,1748,Education Loan,4993285,15.31,2019-11-25,Active
14,3636,Education Loan,1410485,9.03,2018-08-02,Active
15,4706,Home Loan,590484,11.92,2021-07-31,Active
16,4232,Home Loan,979626,10.23,2023-05-03,Default
17,3397,Car Loan,3137240,13.98,2019-09-04,Closed
18,5324,Home Loan,1118003,10.18,2021-08-14,Active
19,3006,Education Loan,2315551,7.63,2018-10-03,Active
20,1681,Personal Loan,4801040,10.67,2022-10-16,Closed
21,5786,Home Loan,223474,7.03,2023-06-02,Active
22,3320,Car Loan,2480223,15.34,2019-03-15,Active
23,5589,Car Loan,3863074,14.05,2019-02-21,Active
24,4377,Personal Loan,3320791,14.57,2022-10-24,Default
25,3766,Education Loan,4765273,13.02,2019-04-30,Active
26,1911,Car Loan,4548703,8.61,2018-03-01,Closed
27,3477,Car Loan,4223490,6.56,2021-09-25,Active
28,4877,Education Loan,1000274,8.37,2019-06-29,Active
29,3094,Car Loan,1296943,11.49,2018-03-28,Active
30,5678,Education Loan,2332295,11.64,2018-03-31,Active
31,653,Car Loan,3162893,8.48,2023-01-03,Closed
32,4649,Car Loan,2027414,8.22,2021-01-12,Closed
33,4928,Car Loan,1688148,9.34,2021-04-20,Closed
34,3770,Car Loan,4704509,13.4,2020-06-14,Active
35,1664,Car Loan,3717488,7.74,2019-10-29,Active
36,5610,Car Loan,2367120,14.58,2021-12-19,Closed
37,1275,Personal Loan,840853,14.83,2019-09-21,Active
38,2582,Car Loan,4082575,6.61,2020-01-17,Active
39,1547,Car Loan,2222705,14.92,2020-08-29,Active
40,5285,Home Loan,2266724,12.02,2020-12-10,Active
41,4696,Education Loan,1136073,7.34,2019-11-19,Active
42,5537,Personal Loan,2318700,11.36,2020-06-18,Active
43,4534,Home Loan,4534903,11.82,2021-08-07,Active
44,1678,Education Loan,104940,9.2,2020-11-07,Default
45,3320,Home Loan,897921,7.59,2021-11-02,Active
